study_id	feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSE122876	FUCA2	0.580613419284209	17.7372777479418	18.7469578407715	2.38677278647967e-05	0.00028641273437756	3.6786036636153
GSE122876	SCYL3	1.2845533812599	16.3699363185278	13.1602617334219	0.000109757770251023	0.000658546621506136	1.96379596599
GSE122876	DPM1	-1.26479236051577	17.4108304053054	-10.5896951834956	0.000277278093441955	0.00110911237376782	0.885847043759583
GSE122876	TSPAN6	-1.2340439831488	17.5380846400241	-8.61887947686292	0.000659481542053577	0.00197844462616073	-0.135966344378759
GSE122876	CFH	-0.920221983816464	11.5847576178041	-2.83514404553576	0.0424297546166026	0.101831411079846	-5.03852559753059
GSE122876	C1orf112	0.452887591997293	16.7516424042793	2.37820564052923	0.0705758409628356	0.141151681925671	-5.60909034036688
GSE122876	BCL3	0.468322740203975	5.41543385044977	0.370178950611806	0.728471533609315	0.971295378145755	-7.75117803362043
GSE122876	GFAP	0.468322740203972	6.41543385044977	0.370178950611804	0.728471533609317	0.971295378145755	-7.75117803362043
GSE122876	NOD2	0.468322740203972	6.41543385044977	0.370178950611804	0.728471533609317	0.971295378145755	-7.75117803362043
GSE122876	GCLC	-0.0152658361044686	17.2041111172545	-0.141672239980583	0.893622845868378	0.999999999999676	-7.82164456541795
GSE122876	FGR	-1.77635683940025e-15	8.80510925230856	-4.30138803534353e-13	0.999999999999676	0.999999999999676	-7.83392532211982
GSE122876	TNMD	-1.77635683940025e-15	8.80510925230856	-4.30138803534353e-13	0.999999999999676	0.999999999999676	-7.83392532211982
GSE122876	CXCL11	NA	NA	NA	NA	NA	NA
GSE122876	DHRS2	NA	NA	NA	NA	NA	NA
GSE122876	EGR1	NA	NA	NA	NA	NA	NA
GSE122876	EGR4	NA	NA	NA	NA	NA	NA
GSE122876	IFITM1	NA	NA	NA	NA	NA	NA
GSE122876	IFNB1	NA	NA	NA	NA	NA	NA
GSE122876	PTX3	NA	NA	NA	NA	NA	NA
GSE122876	RSAD2	NA	NA	NA	NA	NA	NA
GSE122876	TRIM22	NA	NA	NA	NA	NA	NA
GSE122876	CREB5	NA	NA	NA	NA	NA	NA
GSE122876	FADS2	NA	NA	NA	NA	NA	NA
GSE122876	HSPA6	NA	NA	NA	NA	NA	NA
GSE122876	IFNL2	NA	NA	NA	NA	NA	NA
GSE122876	IL6	NA	NA	NA	NA	NA	NA
GSE122876	PLA2G4F	NA	NA	NA	NA	NA	NA
GSE122876	PNPLA5	NA	NA	NA	NA	NA	NA
GSE122876	RGR	NA	NA	NA	NA	NA	NA
GSE122876	ZBTB47	NA	NA	NA	NA	NA	NA
GSE122876	CELF4	NA	NA	NA	NA	NA	NA
GSE122876	LCE2B	NA	NA	NA	NA	NA	NA
GSE122876	QPRT	NA	NA	NA	NA	NA	NA
GSE122876	SLA	NA	NA	NA	NA	NA	NA
GSE122876	SLC22A23	NA	NA	NA	NA	NA	NA
GSE122876	SSX2	NA	NA	NA	NA	NA	NA
GSE122876	STK32A	NA	NA	NA	NA	NA	NA
GSE122876	TGFB1I1	NA	NA	NA	NA	NA	NA
GSE122876	TSPAN18	NA	NA	NA	NA	NA	NA
GSE122876	CBLL2	NA	NA	NA	NA	NA	NA
GSE122876	CEL	NA	NA	NA	NA	NA	NA
GSE122876	FBXL8	NA	NA	NA	NA	NA	NA
GSE122876	IFIT2	NA	NA	NA	NA	NA	NA
GSE122876	KCNK18	NA	NA	NA	NA	NA	NA
GSE122876	MMP1	NA	NA	NA	NA	NA	NA
GSE122876	OASL	NA	NA	NA	NA	NA	NA
GSE139516	DPM1	-0.900193242537739	17.3301917589196	-3.29431928656063	0.0118101233048804	0.117681809719505	-2.50880180970013
GSE139516	TSPAN6	-1.23778472260911	17.5093817306043	-2.87472835157625	0.0218818898417205	0.117681809719505	-3.04713341972495
GSE139516	FUCA2	-0.274518301398057	19.0447286890644	-2.67753923162333	0.0294204524298763	0.117681809719505	-3.30655934190514
GSE139516	CFH	0.851839716583399	12.6071907797352	2.0819406169028	0.0728232026935338	0.218469608080601	-4.09601219462056
GSE139516	SCYL3	0.793118434759377	16.3931459005507	1.86923448596229	0.100567405817707	0.241361773962498	-4.37169200709407
GSE139516	GCLC	0.501803784423725	17.2081165706222	1.72814882995534	0.1243092329194	0.2486184658388	-4.54976069355866
GSE139516	C1orf112	-0.141631861387811	17.8922222227564	-1.23122693930539	0.255066470045841	0.419963882053027	-5.12474125836565
GSE139516	FGR	0.266889743339933	11.537367666657	1.16340391590534	0.279975921368685	0.419963882053027	-5.19446417438383
GSE139516	BCL3	-0.146096214855791	4.82280624612687	-0.154184924891288	0.881489388630323	0.961624787596717	-5.82338154422043
GSE139516	GFAP	-0.14609621485579	5.82280624612687	-0.154184924891288	0.881489388630324	0.961624787596717	-5.82338154422043
GSE139516	NOD2	-0.14609621485579	5.82280624612687	-0.154184924891288	0.881489388630324	0.961624787596717	-5.82338154422043
GSE139516	TNMD	0	11.359441171097	0	1	1	-5.83568975399316
GSE139516	CXCL11	NA	NA	NA	NA	NA	NA
GSE139516	DHRS2	NA	NA	NA	NA	NA	NA
GSE139516	EGR1	NA	NA	NA	NA	NA	NA
GSE139516	EGR4	NA	NA	NA	NA	NA	NA
GSE139516	IFITM1	NA	NA	NA	NA	NA	NA
GSE139516	IFNB1	NA	NA	NA	NA	NA	NA
GSE139516	PTX3	NA	NA	NA	NA	NA	NA
GSE139516	RSAD2	NA	NA	NA	NA	NA	NA
GSE139516	TRIM22	NA	NA	NA	NA	NA	NA
GSE139516	CREB5	NA	NA	NA	NA	NA	NA
GSE139516	FADS2	NA	NA	NA	NA	NA	NA
GSE139516	HSPA6	NA	NA	NA	NA	NA	NA
GSE139516	IFNL2	NA	NA	NA	NA	NA	NA
GSE139516	IL6	NA	NA	NA	NA	NA	NA
GSE139516	PLA2G4F	NA	NA	NA	NA	NA	NA
GSE139516	PNPLA5	NA	NA	NA	NA	NA	NA
GSE139516	RGR	NA	NA	NA	NA	NA	NA
GSE139516	ZBTB47	NA	NA	NA	NA	NA	NA
GSE139516	CELF4	NA	NA	NA	NA	NA	NA
GSE139516	LCE2B	NA	NA	NA	NA	NA	NA
GSE139516	QPRT	NA	NA	NA	NA	NA	NA
GSE139516	SLA	NA	NA	NA	NA	NA	NA
GSE139516	SLC22A23	NA	NA	NA	NA	NA	NA
GSE139516	SSX2	NA	NA	NA	NA	NA	NA
GSE139516	STK32A	NA	NA	NA	NA	NA	NA
GSE139516	TGFB1I1	NA	NA	NA	NA	NA	NA
GSE139516	TSPAN18	NA	NA	NA	NA	NA	NA
GSE139516	CBLL2	NA	NA	NA	NA	NA	NA
GSE139516	CEL	NA	NA	NA	NA	NA	NA
GSE139516	FBXL8	NA	NA	NA	NA	NA	NA
GSE139516	IFIT2	NA	NA	NA	NA	NA	NA
GSE139516	KCNK18	NA	NA	NA	NA	NA	NA
GSE139516	MMP1	NA	NA	NA	NA	NA	NA
GSE139516	OASL	NA	NA	NA	NA	NA	NA
GSE147507	SCYL3	0.205113804344725	14.8766800791693	1.72779628154515	0.112994286961636	0.883587839652927	-4.2265846686118
GSE147507	DPM1	0.150287670680616	16.99918684426	1.11811256347784	0.288213338137611	0.883587839652927	-4.7028511076899
GSE147507	FGR	0.27909898645577	9.24015504903503	1.0570080824804	0.31399728245597	0.883587839652927	-4.74331708776942
GSE147507	CFH	0.424022037198672	17.0145077659839	0.771309970407789	0.457368986325726	0.883587839652927	-4.90869318053732
GSE147507	GCLC	-0.0645465258566453	18.5501299578279	-0.538438885632944	0.601395061486896	0.883587839652927	-5.01023160963858
GSE147507	FUCA2	0.10790443065596	17.3137660302185	0.365511499229211	0.721916848996862	0.883587839652927	-5.06378728221532
GSE147507	TSPAN6	0.135172155496058	16.193664979739	0.272517001217213	0.790458733743173	0.883587839652927	-5.08439378975078
GSE147507	BCL3	0.187711874114704	4.76538481939401	0.264351600775939	0.796576966820381	0.883587839652927	-5.08592244446917
GSE147507	GFAP	0.187711874114707	5.76538481939401	0.264351600775943	0.796576966820378	0.883587839652927	-5.08592244446917
GSE147507	NOD2	0.187711874114707	5.76538481939401	0.264351600775943	0.796576966820378	0.883587839652927	-5.08592244446917
GSE147507	C1orf112	0.138024244876915	14.8380675672372	0.246562256009834	0.80995551968185	0.883587839652927	-5.08909452316288
