study_id	feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
P-hsa04630-36	GSE122876	Jak-STAT signaling pathway: GFAP	0.018669426708396	0.117277995567475	0.369159932098856	0.729269650051232	0.766904216555388	-12.8272425100414
P-hsa04621-28	GSE122876	NOD-like receptor signaling pathway: CASP8	4.50844447088539e-05	0.71515963293487	0.368558423930347	0.729687168747001	0.766904216555388	-12.827507075881
P-hsa04621-43	GSE122876	NOD-like receptor signaling pathway: MAPK1	4.03419311044706e-05	0.639930708405152	0.368409142715983	0.729790804888664	0.766904216555388	-12.8275726725772
P-hsa04621-42	GSE122876	NOD-like receptor signaling pathway: MAPK8	2.09122747129031e-05	0.843637024018551	0.365932818579676	0.731510944020115	0.766904216555388	-12.8286571675953
P-hsa04621-44	GSE122876	NOD-like receptor signaling pathway: MAPK14	2.09122747129031e-05	0.843637024018551	0.365932818579676	0.731510944020115	0.766904216555388	-12.8286571675953
P-hsa04621-4 7 8	GSE122876	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	4.24364009188327e-06	0.867997185187835	0.315541898124339	0.766904216555388	0.766904216555388	-12.8492198010996
P-hsa04630-361	GSE139516	Jak-STAT signaling pathway: GFAP	-0.00278569693177346	0.0527058358792389	-0.153949508281286	0.881682650937584	0.901165563565778	-11.0913743254816
P-hsa04621-281	GSE139516	NOD-like receptor signaling pathway: CASP8	-5.68672563802108e-05	0.488710573182899	-0.153041331375537	0.882374471405591	0.901165563565778	-11.0915316901963
P-hsa04621-421	GSE139516	NOD-like receptor signaling pathway: MAPK8	-4.63029785908731e-05	0.636645236769877	-0.152697315534223	0.882636560185023	0.901165563565778	-11.0915910580397
P-hsa04621-441	GSE139516	NOD-like receptor signaling pathway: MAPK14	-4.63029785908731e-05	0.636645236769877	-0.152697315534223	0.882636560185023	0.901165563565778	-11.0915910580397
P-hsa04621-431	GSE139516	NOD-like receptor signaling pathway: MAPK1	-4.500560429338e-05	0.386772917684083	-0.152506902404075	0.882781633284706	0.901165563565778	-11.0916238611176
P-hsa04621-4 7 81	GSE139516	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB	-9.38749034251618e-06	0.707012827707538	-0.128425165794173	0.901165563565778	0.901165563565778	-11.0954442882294
P-hsa04630-362	GSE147507	Jak-STAT signaling pathway: GFAP	0.00322736820266924	0.0420550183886219	0.264491863627408	0.796469525937141	0.823313047653595	-11.0289279368127
P-hsa04621-282	GSE147507	NOD-like receptor signaling pathway: CASP8	9.43736404176443e-05	0.441311180231965	0.263083123523693	0.797526512563195	0.823313047653595	-11.0293319275757
P-hsa04621-432	GSE147507	NOD-like receptor signaling pathway: MAPK1	7.23309229083147e-05	0.338234752997575	0.262106189488824	0.79825976261574	0.823313047653595	-11.029610836899
P-hsa04621-422	GSE147507	NOD-like receptor signaling pathway: MAPK8	8.30653616145094e-05	0.584790035600508	0.261709220234288	0.798557771226754	0.823313047653595	-11.0297238767873
