id	effect	rawPval	adjPval	logAdjPval
P-hsa03320-37	-0.8871313913983859	0.3750081650576862	0.9197525178791046	0.08365064743198211
P-hsa03320-61	-0.2681673953788854	0.788570470817253	1	-0
P-hsa03320-46	-0.9490847534793584	0.3425775081238076	0.9148796197989206	0.08896278542308336
P-hsa03320-57	0.13023163932463858	0.8963831631724086	1	-0
P-hsa03320-64	-0.5093694489738324	0.6104932866101997	0.9805525733567935	0.019639015857331812
P-hsa03320-47	1.1687189072902646	0.24251690167007212	0.8635011658632638	0.14676003123619508
P-hsa03320-65	1.389039639222866	0.16482069673321287	0.7578520271360474	0.27726712725676217
P-hsa03320-55	1.1494928622126939	0.25035280831363704	0.8698233736078891	0.13946510678612914
P-hsa03320-56	0.2513489109659312	0.8015443630963255	1	-0
P-hsa03320-33	-0.743570598586189	0.4571362960020311	0.9445820135941854	0.05701276299488108
P-hsa03320-58	-0.9469043671446278	0.3436875123946952	0.9148796197989206	0.08896278542308336
P-hsa03320-59	0.6058925927253018	0.5445860785148982	0.9622302394427007	0.038501522812255405
P-hsa03320-63	-0.16647998727873436	0.8677792312333197	1	-0
P-hsa03320-44	-0.38991706865592435	0.6965978719472548	1	-0
P-hsa03320-36	0.6449525688598039	0.5189579234251891	0.9612435042168058	0.03952751582693077
P-hsa03320-30	-2.1641297470896887	0.03045439308545239	0.4854280967564836	0.7227241036473151
P-hsa03320-28	0.023246996363842032	0.9814532510457512	1	-0
P-hsa03320-25	-0.023675746034975475	0.9811112524424379	1	-0
P-hsa03320-21	0.26324920540300345	0.7923585073966906	1	-0
P-hsa03320-20	0.9189249160115203	0.3581348464862999	0.9148796197989206	0.08896278542308336
P-hsa03320-42	0.2503343865225813	0.8023287662334893	1	-0
P-hsa03320-27	0.25266456913235574	0.8005274293909346	1	-0
P-hsa03320-26	0.9004638382421866	0.3678734611884682	0.9175630905599331	0.08603393786445583
P-hsa03320-22	0.6401622230915972	0.5220671396499594	0.9612435042168058	0.03952751582693077
P-hsa03320-41	0.309428064096135	0.7569959250988725	1	-0
P-hsa03320-66	-0.04294146493789679	0.9657481949779376	1	-0
P-hsa03320-60	3.511145860141534	4.4617951172165604e-4	0.0529110252957809	2.939143544144213
P-hsa03320-31	0.13010515237042053	0.8964832337702382	1	-0
P-hsa03320-29	-0.38350622734572676	0.701344453821594	1	-0
P-hsa03320-10	-0.031021218900800274	0.9752526175791767	1	-0
P-hsa03320-40	0.9339278960347286	0.35034108795774044	0.9148796197989206	0.08896278542308336
P-hsa03320-53	-0.9105583014071718	0.36252814977071934	0.9148796197989206	0.08896278542308336
P-hsa03320-38	0.5387750235781367	0.5900420995330287	0.974503654173868	0.02582701024794711
P-hsa03320-39	-0.5528364997857312	0.5803753726297725	0.9701030040300294	0.03035302340075818
P-hsa03320-9	0.3667307334586663	0.7138198794398951	1	-0
P-hsa03320-7	-0.6207730797270389	0.5347489380533579	0.9622302394427007	0.038501522812255405
P-hsa03320-8	0.6268786716615538	0.5307387689982943	0.9622302394427007	0.038501522812255405
P-hsa03320-32	0.7448401536099256	0.4563683575882582	0.9445820135941854	0.05701276299488108
P-hsa03320-23	0.5182010066722769	0.604318032494116	0.9764863298526801	0.023794527890191774
P-hsa03320-43	0.7292929912747522	0.4658224585991666	0.9445820135941854	0.05701276299488108
P-hsa03320-45	-1.541941092852713	0.12308790897533184	0.6733573730479254	0.39547907534589316
P-hsa03320-62	-0.22218519609133808	0.8241697179241039	1	-0
P-hsa03460-48	-0.41474467415197463	0.678328824799231	1	-0
P-hsa03460-25 40	-0.3569900172975193	0.7210992790581434	1	-0
P-hsa03460-28	0.3449824362480175	0.7301075749507238	1	-0
P-hsa03460-7	-0.020913444340445442	0.9833147019372064	1	-0
P-hsa03460-27	-0.21289432013080611	0.8314093927133683	1	-0
P-hsa03460-16 49	1.9249859723074032	0.05423111319803953	0.5648181260806365	0.5712515003990974
P-hsa03460-16 34	0.41481180254005146	0.6782796788130097	1	-0
P-hsa04010-15	-0.1451678964616572	0.8845783123088826	1	-0
P-hsa04010-61	0.6518302119716083	0.5145107094383179	0.9612435042168058	0.03952751582693077
P-hsa04010-79	1.0897893276432726	0.27580595621551307	0.8754855733676862	0.13297660555569063
P-hsa04010-68	-0.14288468576029545	0.8863812534579303	1	-0
P-hsa04010-67	0.610583370334475	0.5414754347010062	0.9622302394427007	0.038501522812255405
P-hsa04010-66	0.8552058702834325	0.39243718696267305	0.9206774745334709	0.0826454945752522
P-hsa04010-65	-0.23938800186799708	0.8108047327081362	1	-0
P-hsa04010-64	-0.21179343914827287	0.8322681872196205	1	-0
P-hsa04010-63	0.35984352182668256	0.7189641545565562	1	-0
P-hsa04010-62	0.09082816495090563	0.9276291301493818	1	-0
P-hsa04010-58	0.4155374339968131	0.6777485174299374	1	-0
P-hsa04010-57	-1.8378438867488185	0.0660854126160817	0.5839061737273923	0.5380149704870375
P-hsa04010-134	0.14278891685155654	0.8864568904563037	1	-0
P-hsa04010-129	-1.0214075169626877	0.30706140542540505	0.8991473434079058	0.10630836093470665
P-hsa04010-14	-1.1238052865494437	0.26109563828523963	0.8747143806561525	0.1338578680190694
P-hsa04010-13	0.6463130440426066	0.5180766419598637	0.9612435042168058	0.03952751582693077
P-hsa04010-12	-0.8780655101264918	0.37990816863050103	0.9200826715137377	0.08329175263523043
P-hsa04010-131	-1.5743395435626055	0.11540897243199533	0.672849088197011	0.3962342119311057
P-hsa04010-118	1.1943502950668694	0.23234097128234432	0.8596089983383606	0.15127764621556927
P-hsa04010-117	2.345015973069774	0.019026264477853827	0.40146214829307736	0.9126420257728637
P-hsa04010-120	-1.5597618579313113	0.11881616808909645	0.6728607236399557	0.3962169192832514
P-hsa04010-119	-2.2536314151372565	0.02421936530153812	0.4446135694472274	0.8105497573437234
P-hsa04010-54	-0.4078021873047448	0.6834189076472028	1	-0
P-hsa04010-78	-1.2754560650775806	0.20214786536943308	0.8118127927481875	0.20848551620410574
P-hsa04010-107	0.33507970972617135	0.7375649582906356	1	-0
P-hsa04010-87	-1.4507654376487875	0.14684518683929615	0.7137154144769233	0.3372709752603137
P-hsa04010-88 92	-1.4499332496515562	0.14707713419790958	0.7137154144769233	0.3372709752603137
P-hsa04010-86	0.07497107157450089	0.9402377286376113	1	-0
P-hsa04012-23	1.8197288061997596	0.06880031425253463	0.5839061737273923	0.5380149704870375
P-hsa04012-22	-0.10679368206027913	0.9149526597969404	1	-0
P-hsa04012-31	1.6065864350320196	0.1081451201571817	0.669571767045785	0.4011169246059121
P-hsa04012-21	0.27852703117877897	0.7806078177678182	1	-0
P-hsa04012-25	-0.7811605054474288	0.43470809921326437	0.9385569220896995	0.06341177259484435
P-hsa04012-24	-0.23769893314641008	0.8121146111848407	1	-0
P-hsa04012-57	-1.1895342421246566	0.23422950472020432	0.8596089983383606	0.15127764621556927
P-hsa04012-65	-1.18440131220538	0.23625424103006676	0.8603893724394865	0.15037023354828916
P-hsa04012-3	0.2486446427769678	0.8036356727599485	1	-0
P-hsa04012-48	-0.28266543811530714	0.7774333125530444	1	-0
P-hsa04012-47	-0.19185191897626913	0.8478582008141149	1	-0
P-hsa04012-43	-3.2539820848061707	0.0011379945620508813	0.11236198938986598	2.1860295714038496
P-hsa04012-29	-1.4078731170606942	0.1591686446908167	0.7483718732831383	0.2898552677535155
P-hsa04012-56	0.6019299374571978	0.5472207754137082	0.9622302394427007	0.038501522812255405
P-hsa04012-40	-0.0781178273129107	0.9377343263828206	1	-0
P-hsa04012-35	-0.9198792354894683	0.3576358709590455	0.9148796197989206	0.08896278542308336
P-hsa04012-8	-1.2219241351141472	0.22173631751192246	0.8455283014327737	0.16779363819037713
P-hsa04012-37 7	2.5971955830488054	0.009398838991127256	0.3526444389470947	1.0422949847785452
P-hsa04014-42	-0.17910876017528554	0.8578523036113757	1	-0
P-hsa04014-43	-0.5153726575922243	0.606292635296912	0.9775031768443062	0.02275373715929765
P-hsa04014-44	-0.939088740446771	0.34768518469792276	0.9148796197989206	0.08896278542308336
P-hsa04014-33	-2.613805318591267	0.008954004106341396	0.34995232715617625	1.0499583419010576
P-hsa04014-35	-0.023284834742217275	0.9814230685578802	1	-0
P-hsa04014-37	0.5254683407758638	0.5992576561406513	0.976007061066095	0.024285457896347017
P-hsa04014-97	-1.5884833044887905	0.11217709339235071	0.672849088197011	0.3962342119311057
P-hsa04014-54	-1.5677314727165974	0.11694381343114113	0.672849088197011	0.3962342119311057
P-hsa04014-38	0.13417374253151715	0.8932651885699054	1	-0
P-hsa04014-41	-2.1340821189808112	0.03283605931257583	0.4854280967564836	0.7227241036473151
P-hsa04014-100	0.1311022821737238	0.8956943958333818	1	-0
P-hsa04014-24	0.16827142963895533	0.866369749197097	1	-0
P-hsa04014-26	-1.539015151621606	0.12380059731309756	0.6733573730479254	0.39547907534589316
P-hsa04014-30	-1.4821574579332422	0.13829840323957843	0.7000348832424421	0.35662511197687646
P-hsa04014-27	-1.7471985153895158	0.08060290917411495	0.6195334232947642	0.4787886273186396
P-hsa04014-45	-1.3326192374298511	0.1826567888243158	0.7752582258697205	0.2545591104552
P-hsa04014-61	0.5853788461781987	0.5582930093288043	0.9623941928475523	0.03833114837192562
P-hsa04014-79	-1.8196551406910246	0.06881153880881175	0.5839061737273923	0.5380149704870375
P-hsa04014-103	-4.164256265169653	3.123691151207808e-5	0.02930022299832924	3.5301601521235986
P-hsa04014-58 59	-2.5396238571611662	0.011097174489536066	0.37324192318077676	0.9855284819643438
P-hsa04014-55	-0.963460467618364	0.33531649387652207	0.9148796197989206	0.08896278542308336
P-hsa04014-62	-0.8526213745048173	0.3938693053918081	0.9206774745334709	0.0826454945752522
P-hsa04014-63	-0.7870920755779404	0.43122796792894635	0.9385569220896995	0.06341177259484435
P-hsa04014-64	-0.3894034311198006	0.6969777342845915	1	-0
